boeing,Boeing,"Provides Israel with Hellfire missiles, F-15 Eagle fighter jets, MK84 2000-lb bombs and Apache helicopters.[^1]
Don't work for Boeing
[^1]: https://investigate.afsc.org/company/boeing",avoid,operations_in_israel,global,"weapons, manufacturer",,https://marvel-b1-cdn.bc0a.com/f00000000163918/www.care.org/wp-content/uploads/2021/10/Boeing.png,,Work for an engineering firm which doesn't manufacture weapons used by israel,
bold,Bold,"Bold is owned by Procter and Gamble, who opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.[^1]
Don't buy Bold products
Don't sell Bold products
Don't work for Bold
[^1]: https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5",avoid,operations_in_israel,global,household,,https://images.ctfassets.net/zyvr84rwvj68/6LLHcCt51Sc0m0s4SigqAE/dd76765a1e15c755772c625f9c171fe0/Bold-2in1.jpg,,Supermarket own brand products,
bomaja,Bomaja,"Bomaja is an israeli brand which sells dates grown on stolen Palestinian land.[^1]
Don't buy dates from this brand.
Ask businesses to stop selling this brand
Only buy Medjoul dates from confirmed Palestinian owned businesses
Buy other variants of dates besides Medjoul if you can't confirm the origin
[^1]: https://www.ampalestine.org/dateboycott",avoid,operations_in_israel,global,"food, dates",,https://m.media-amazon.com/images/I/91XMctP5PKL.jpg,,"Yaffa
Ziyad
Various muslim charity date tins",
bonaqua,Bon Aqua,"Coca-Cola Company which owns Bon Aqua, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.[^1]
Don't buy Bon Aqua.
Don't sell Bon Aqua
Don't work for the Coca-Cola Company
[^1]: https://www.foa.org.uk/campaign/boycottcocacola",avoid,operations_in_settlements,global,drinks,,https://www.coca-colahellenic.com/content/dam/cch/us/images/our-24-7-portfolio/brand-image/bonaqua-logo-300x300-1.png,,"Supermarket own brand products, eg. Aldi
Highland Spring",
bookingcom,Booking.com,"Booking.com allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.[^1]
Don't rent property on Booking.com.
Book directly with businesses. They usually offer discounts and similar terms for direct bookings.
Don't list property on Booking.com.
Don't work for Booking Holdings.
[^1]: https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy",avoid,operations_in_israel,global,"technology, travel",,https://is1-ssl.mzstatic.com/image/thumb/Purple116/v4/ee/0d/be/ee0dbe86-9a9d-d313-968e-b274af9c5ed8/AppIcon-0-0-1x_U007emarketing-0-7-0-0-85-220.jpeg/460x0w.webp,,halalbooking.com,
id,name,description,status,reasons,countries,categories,website,logo_url,alternatives,alternatives_text,allOf
8fig,8fig,"8fig is an Israeli tech company[^1]
Don't buy 8fig products/services
Don't sell 8fig products/services
Don't work for 8fig
[^1]: https://buyisraelitech.com/database/8fig",avoid,operations_in_israel,global,"technology, commerce",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/3ddd5fbb-0020-43be-a1a3-e3353717d712/8fig-logo_cyan-green_RGB_cropped-300x191-1/w=451,,,
adidas,Adidas,"Adidas uses israeli manufacturer, Delta Galil, to manufacture its underwear range.[^1]
Don't buy Adidas products.
Don't sell Adidas products.
Don't work for Adidas.
[^1]: https://adidasunderwear.com/pages/adidas-underwear-partnership/",avoid,operations_in_israel,global,clothing,,https://adidasunderwear.com/cdn/shop/files/Sportswear_Logo_BWp_180x.png,,Unbranded sportswear,
aero,Aero,"The owner of the Aero brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.[^1]
Don't buy Aero products
Avoid Nestle products until they divest all operations in Occupied Palestine.
Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.
[^1]: https://en.wikipedia.org/wiki/Osem_(company)",avoid,operations_in_israel,global,food,,https://pbs.twimg.com/profile_images/1572133079124156417/5HRdFO3L_400x400.jpg,,"Supermarket own brand alternatives, eg. Morrisons",
affogata,Affogata,"Affogata is an Israeli tech company[^1]
Don't buy Affogata products/services
Don't sell Affogata products/services
Don't work for Affogata
[^1]: https://buyisraelitech.com/database/affogata",avoid,operations_in_israel,global,"technology, marketing",,https://images.spr.so/cdn-cgi/imagedelivery/j42No7y-dcokJuNgXeA0ig/6561612e-d08d-4002-ab63-abf6d65030ef/Affogata-logo-NEW/w=451,,,
